#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
10375151.233287,5,4.735404
10374565.880761,5,4.743479
10374669.84067,5,4.75144
7774969.206907,5,4.75144
10375009.755878,5,4.7595
10374638.915028,5,4.767391
10375128.366613,5,4.783385
10374586.001857,5,4.800934
10375102.945181,5,4.800934
10375193.648927,5,4.800934
10374730.927806,5,4.816659
10374467.494068,5,4.816659
5175140.670663,5,4.816659
10374957.916993,5,4.832181
10375172.107157,5,4.832181
7775242.681956,5,4.853375
10374723.439507,5,4.861469
10374644.336273,5,4.869389
10375043.433032,5,4.877366
10375094.544978,5,4.877366
10374764.466322,5,4.885401
10374879.598691,5,4.893456
10375197.287943,5,4.901461
10374733.549742,5,4.90943
10374730.378348,5,4.917495
10374467.740787,5,4.917495
10374863.149035,5,4.917495
10374429.998203,5,4.933138
10374880.560678,5,4.933138
10374315.26577,5,4.933138
10374451.295874,5,4.95146
10375018.558691,5,4.95146
7774832.43887,5,4.95146
10374880.758132,5,4.973786
10374691.307263,5,4.974826
10374650.407418,5,4.982894
5174819.541613,5,4.990854
10374864.108652,5,4.990854
7774872.640206,5,5.006847
10374797.438345,5,5.006847
10374337.448622,5,5.014921
10374483.313366,5,5.022914
10375068.330416,5,5.022914
10374639.94365,5,5.034189
10374983.386656,5,5.034189
10374668.206469,5,5.034189
7774863.905293,5,5.051419
7774610.920869,5,5.051419
10374334.449154,5,5.051419
10374828.210382,5,5.084187
10374406.9711,5,5.092251
10374664.456925,5,5.100277
7774838.350826,5,5.100277
10374901.757309,5,5.108211
10375029.642542,5,5.116241
10374314.49466,5,5.12424
10374692.643566,5,5.12424
10375053.031703,5,5.132264
10374858.027787,5,5.140231
10374690.667942,5,5.148257
10374563.606116,5,5.148257
10375028.362923,5,5.156253
10374761.847772,5,5.164261
10374690.105265,5,5.164261
10374872.028992,5,5.172259
10374605.685963,5,5.180252
10375022.629044,5,5.184244
10374808.129848,5,5.184244
10374760.785247,5,5.184244
10374757.004715,5,5.204514
10374919.657195,5,5.212578
10375013.878821,5,5.212578
10374888.774999,5,5.220579
10374891.570222,5,5.228571
10374999.855831,5,5.236605
10374434.622201,5,5.236605
10374737.905453,5,5.244601
10374637.893078,5,5.252595
10374875.360509,5,5.252595
10374747.541292,5,5.260596
10374811.899626,5,5.267545
10374547.692533,5,5.267545
10374876.015563,5,5.267545
7774625.053047,5,5.28327
10375030.897222,5,5.28327
7774984.725358,5,5.28327
10374715.497226,5,5.299583
10374881.539832,5,5.307687
10374822.383914,5,5.315656
10375059.886957,5,5.323647
10374992.169703,5,5.323647
10374732.58547,5,5.331677
7774888.96379,5,5.339668
10374707.250636,5,5.339668
10374670.242636,5,5.34767
5174520.734902,5,5.355668
10375041.6558,5,5.363668
10375104.978715,5,5.36751
10374558.156695,5,5.36751
10374838.84482,5,5.36751
10374867.098112,5,5.383231
10374749.661695,5,5.383231
7774904.540348,5,5.383231
10374752.554368,5,5.398852
10374605.705895,5,5.398852
5175152.814618,5,5.398852
10375083.743375,5,5.423731
10375288.068694,5,5.423731
10375304.03568,5,5.431741
10375142.885851,5,5.439742
10374551.886139,5,5.439742
10374628.877167,5,5.447737
7774369.506925,5,5.455729
10374852.995722,5,5.463727
10375080.580109,5,5.463727
10374442.159767,5,5.471699
10375089.856866,5,5.479711
10374560.841861,5,5.479711
10375051.486404,5,5.487709
10374598.912846,5,5.495705
10374842.947517,5,5.503708
10374730.662582,5,5.503708
5174999.759152,5,5.5117
10374524.311649,5,5.517559
10375052.731227,5,5.517559
10374884.200976,5,5.517559
10374883.255943,5,5.538268
4974760.858385,5,5.546332
10374884.232294,5,5.554341
10374705.317369,5,5.554341
5174455.55594,5,5.562324
10374782.122613,5,5.570322
10374753.181487,5,5.570322
10374841.959473,5,5.578318
10375160.007892,5,5.586346
7774520.281302,5,5.586346
10374895.728278,5,5.594341
10374793.034929,5,5.600988
10374516.463355,5,5.600988
2574542.919074,5,5.600988
10374664.152636,5,5.616712
10374659.057148,5,5.616712
10375050.375805,5,5.632331
10374452.786731,5,5.632331
10375023.21931,5,5.632331
10374927.573838,5,5.653491
10374704.005379,5,5.653491
10374738.424881,5,5.661568
7775069.476145,5,5.669522
10374906.724394,5,5.669522
10375013.007404,5,5.677579
5174250.254594,5,5.685587
10374841.696589,5,5.69357
5174598.592719,5,5.69357
10374539.41615,5,5.701524
10374906.917053,5,5.70957
5174526.238508,5,5.717698
10374828.5095,5,5.717698
10374643.220226,5,5.717698
10375025.653185,5,5.733419
10375059.437624,5,5.733419
10374904.213151,5,5.733419
10374666.673615,5,5.749053
10374745.127858,5,5.749053
5174314.430168,5,5.749053
10374496.117097,5,5.770187
10374527.443188,5,5.77776
10374843.580475,5,5.77776
10374672.670607,5,5.785803
10374600.338012,5,5.793876
10374598.102764,5,5.801867
10374640.399899,5,5.801867
10374746.388732,5,5.809864
7774829.743034,5,5.817812
10374328.015846,5,5.817812
10374490.214951,5,5.825855
10374929.220617,5,5.83444
7774687.175397,5,5.83444
10374550.384839,5,5.842545
5175196.876307,5,5.850537
7774360.626407,5,5.858533
5074773.516709,5,5.858533
10374649.809958,5,5.867848
10374642.935364,5,5.877949
10374695.231374,5,5.877949
10374771.715014,5,5.884473
10375002.494532,5,5.892569
7774551.744312,5,5.900577
10374525.104285,5,5.908572
10374922.258159,5,5.908572
10374797.131567,5,5.916564
